title;year;mileage;price;city;link
BMW M5 Competition;2021;6 km;607 700PLN;Libertów;https://www.otomoto.pl/oferta/bmw-m5-m5-competition-625km-krakow-lasery-kamery-360-ID6E5Hvi.html#6d6b2fb15c
BMW M5 Standard;2006;202 000 km;99 900PLN;Radom;https://www.otomoto.pl/oferta/bmw-m5-piekna-bmw-m5-v10-interlagos-blue-alufelgi-styling-m166-xenon-ID6E1Unr.html#6d6b2fb15c
BMW M5 Competition;2020;20 km;599 000PLN;Mikołów;https://www.otomoto.pl/oferta/bmw-m5-bmw-sikora-m5-samochod-nowy-ID6E3jCJ.html#6d6b2fb15c
BMW M5 Competition;2018;30 000 km;499 000PLN;Poznań;https://www.otomoto.pl/oferta/bmw-m5-bmw-m5-competition-salon-pl-m-drivers-bowers-wilkins-ceramika-ID6E6hnN.html#6d6b2fb15c
BMW M5 Standard;2009;200 000 km;99 900PLN;Zamość;https://www.otomoto.pl/oferta/bmw-m5-m5-5-0-v10-507-km-lift-pelna-opcja-ID6DOZ2P.html#6d6b2fb15c
BMW M5 Competition;2021;5 km;695 100PLN;Bydgoszcz;https://www.otomoto.pl/oferta/bmw-m5-competition-625-km-kola-zimowe-w-cenie-auta-ID6E4L4g.html#6d6b2fb15c
BMW M5;2007;72 000 km;125 000PLN;Poznań;https://www.otomoto.pl/oferta/bmw-m5-dzis-odebrane-z-portu-od-jutra-do-obejrzenia-ID6E3PtP.html#6d6b2fb15c
BMW M5 Standard;2013;61 000 km;185 000PLN;Gniezno;https://www.otomoto.pl/oferta/bmw-m5-lifting-niemcy-serwis-head-up-komfortowe-fotele-4xklimatronik-ID6BYSa3.html#6d6b2fb15c
BMW M5 Competition;2019;30 000 km;507 744PLN;Warszawa;https://www.otomoto.pl/oferta/bmw-m5-bmw-m5-competition-cesja-leasingu-bez-odstepnego-ID6DR7Hu.html#6d6b2fb15c
BMW M5 DKG;2016;105 000 km;175 000PLN;Krzyszkowice;https://www.otomoto.pl/oferta/bmw-m5-bmw-m5-competition-adaptive-led-bang-olufsen-dociagi-ID6E55Ig.html#6d6b2fb15c
BMW M5 DKG;2012;174 000 km;159 000PLN;Gdańsk;https://www.otomoto.pl/oferta/bmw-m5-individual-salon-polska-bezwypadkowa-serwis-aso-bmw-perfekcyjna-ID6E1V7K.html#6d6b2fb15c
BMW M5;2021;1 km;743 465PLN;Poznań;https://www.otomoto.pl/oferta/bmw-m5-bmw-m5-sedan-600hp-malachite-green-individual-ceramika-m-driver-ID6E9QZw.html#6d6b2fb15c
BMW M5 Competition;2018;49 000 km;449 000PLN;Nowy Dwór Gdański;https://www.otomoto.pl/oferta/bmw-m5-ceramika-bowers-wilkins-carbon-alcantara-serwis-aso-fv23-ID6DLqEw.html#6d6b2fb15c
BMW M5;2018;79 098 km;419 900PLN;Poznań;https://www.otomoto.pl/oferta/bmw-m5-625km-m5-m-competition-wentylacja-foteli-m-drivers-ID6E4GgQ.html#6d6b2fb15c
BMW M5;2006;129 000 km;118 000PLN;Poznań;https://www.otomoto.pl/oferta/bmw-m5-e60-m5-v10-pelna-opcja-ID6CUaiF.html#6d6b2fb15c
BMW M5;2018;47 000 km;449 000PLN;Płock;https://www.otomoto.pl/oferta/bmw-m5-competition-gwarancja-do-11-2022-salon-pl-leasing-dodatki-m-ID6E9FZB.html#6d6b2fb15c
BMW M5;2021;1 400 km;520 167PLN;Mikołów;https://www.otomoto.pl/oferta/bmw-m5-4-4-l-ID6Ee7Y8.html#6d6b2fb15c
BMW M5 DKG;2016;69 000 km;199 900PLN;Lublin;https://www.otomoto.pl/oferta/bmw-m5-lift-niski-przebieg-ID6Ee8QJ.html#6d6b2fb15c
BMW M5;2018;35 000 km;468 999PLN;Warszawa;https://www.otomoto.pl/oferta/bmw-m5-m5-f90-v8-600km4x4salon-plbezwypadkowyna-gwarancji-fabrycznej-ID6Ee8Dw.html#6d6b2fb15c
BMW M5 Standard;2005;29 460 km;229 000PLN;Mosina;https://www.otomoto.pl/oferta/bmw-m5-bmw-e60-m5-jak-nowe-jedyne-29460-km-idealne-dla-kolekcjonera-ID6EbHn8.html#6d6b2fb15c
BMW M5;2020;10 000 km;629 900PLN;Katowice;https://www.otomoto.pl/oferta/bmw-m5-m5-competition-f90-lci-bawaria-motors-katowice-fv23-ID6DxSYs.html#6d6b2fb15c
BMW M5 Standard;2007;88 216 km;137 000PLN;Dziekanów Polski;https://www.otomoto.pl/oferta/bmw-m5-2007-5-0l-v10-507km-japonia-interlagos-blau-ID6EcHIT.html#6d6b2fb15c
BMW M5 Competition;2019;13 300 km;549 000PLN;Nowy Tomyśl;https://www.otomoto.pl/oferta/bmw-m5-competition-bowerswilkins-nightvision-ceramika-bmw-pawelec-ID6EdiM2.html#6d6b2fb15c
BMW M5;2019;29 500 km;480 000PLN;Warszawa;https://www.otomoto.pl/oferta/bmw-m5-jedyne-takie-bmw-m5-competition-750hp-mozliwa-cesja-ID6E2XM7.html#6d6b2fb15c
BMW M5;2021;10 000 km;649 900PLN;Poznań;https://www.otomoto.pl/oferta/bmw-m5-600km-m5-individual-kolor-carbon-pakiet-ceramiczne-hamulce-salon-pl-ID6EbHOo.html#6d6b2fb15c
BMW M5;2021;5 km;559 900PLN;Warszawa;https://www.otomoto.pl/oferta/bmw-m5-bmw-m5-600km-m-xdrive-live-cockpit-professional-dostep-komfortowy-ID6EcDUk.html#6d6b2fb15c
BMW M5;2018;109 710 km;345 900PLN;Mikołów;https://www.otomoto.pl/oferta/bmw-m5-bmw-sikora-m5-fv-23-ID6Edgq9.html#6d6b2fb15c
BMW M5;2018;79 000 km;248 999PLN;Poznań;https://www.otomoto.pl/oferta/bmw-m5-ceramika-bow-wilk-carbon-przebieg-nowy-770tys-pln-fv23-oplacony-ID6EbHmu.html#6d6b2fb15c
BMW M5 DKG;2014;52 709 km;269 900PLN;Warszawa;https://www.otomoto.pl/oferta/bmw-m5-ID6Eauqg.html#6d6b2fb15c
BMW M5 Competition;2019;36 700 km;499 600PLN;Zamość;https://www.otomoto.pl/oferta/bmw-m5-competition-salon-pl-perfekcyjny-stan-serwisowana-w-aso-ID6EcyRs.html#6d6b2fb15c
BMW M5 Competition;2018;31 500 km;609 000PLN;Stalowa Wola;https://www.otomoto.pl/oferta/bmw-m5-bmw-m5-competition-g-power-hurricane-rs-salon-polska-idealna-ID6EatTv.html#6d6b2fb15c
BMW M5 Standard;2012;97 500 km;179 999PLN;Pukinin;https://www.otomoto.pl/oferta/bmw-m5-m5-f10-manual-jedyna-taka-unikat-idealna-jak-nowa-full-ID6DGsXY.html#7cf6fa925a
BMW M5;2015;35 000 km;215 000PLN;Grabówka;https://www.otomoto.pl/oferta/bmw-m5-bmw-m5-ID6DbCN5.html#7cf6fa925a
